"x","y","sst","chlo","a","b","phyto_max"
137.5,82.5,NA,NA,NA,NA,NA
142.5,82.5,NA,NA,NA,NA,NA
147.5,82.5,NA,NA,NA,NA,NA
152.5,82.5,NA,NA,NA,NA,NA
157.5,82.5,NA,NA,NA,NA,NA
162.5,82.5,NA,NA,NA,NA,NA
167.5,82.5,NA,NA,NA,NA,NA
172.5,82.5,NA,NA,NA,NA,NA
177.5,82.5,NA,NA,NA,NA,NA
-177.5,77.5,NA,NA,NA,NA,NA
-172.5,77.5,NA,NA,NA,NA,NA
-167.5,77.5,NA,NA,NA,NA,NA
-162.5,77.5,NA,NA,NA,NA,NA
-157.5,77.5,NA,NA,NA,NA,NA
-152.5,77.5,NA,NA,NA,NA,NA
-147.5,77.5,NA,NA,NA,NA,NA
-142.5,77.5,NA,NA,NA,NA,NA
-137.5,77.5,NA,NA,NA,NA,NA
-132.5,77.5,NA,NA,NA,NA,NA
-127.5,77.5,NA,NA,NA,NA,NA
-122.5,77.5,NA,NA,NA,NA,NA
-117.5,77.5,NA,NA,NA,NA,NA
-112.5,77.5,NA,NA,NA,NA,NA
-107.5,77.5,NA,NA,NA,NA,NA
-102.5,77.5,NA,NA,NA,NA,NA
-97.5,77.5,NA,NA,NA,NA,NA
-92.5,77.5,NA,NA,NA,NA,NA
-87.5,77.5,NA,NA,NA,NA,NA
-82.5,77.5,NA,NA,NA,NA,NA
-77.5,77.5,NA,NA,NA,NA,NA
-72.5,77.5,NA,NA,NA,NA,NA
-67.5,77.5,NA,NA,NA,NA,NA
-62.5,77.5,NA,NA,NA,NA,NA
-57.5,77.5,NA,NA,NA,NA,NA
-52.5,77.5,NA,NA,NA,NA,NA
-47.5,77.5,NA,NA,NA,NA,NA
-42.5,77.5,NA,NA,NA,NA,NA
-37.5,77.5,NA,NA,NA,NA,NA
-32.5,77.5,NA,NA,NA,NA,NA
-27.5,77.5,NA,NA,NA,NA,NA
-22.5,77.5,NA,NA,NA,NA,NA
-17.5,77.5,NA,NA,NA,NA,NA
-12.5,77.5,NA,NA,NA,NA,NA
-7.5,77.5,NA,NA,NA,NA,NA
-2.5,77.5,NA,NA,NA,NA,NA
2.5,77.5,NA,NA,NA,NA,NA
7.5,77.5,NA,NA,NA,NA,NA
12.5,77.5,NA,NA,NA,NA,NA
17.5,77.5,NA,NA,NA,NA,NA
22.5,77.5,NA,NA,NA,NA,NA
27.5,77.5,NA,NA,NA,NA,NA
32.5,77.5,NA,NA,NA,NA,NA
37.5,77.5,NA,NA,NA,NA,NA
42.5,77.5,NA,NA,NA,NA,NA
47.5,77.5,NA,NA,NA,NA,NA
52.5,77.5,NA,NA,NA,NA,NA
57.5,77.5,NA,NA,NA,NA,NA
62.5,77.5,NA,NA,NA,NA,NA
67.5,77.5,NA,NA,NA,NA,NA
72.5,77.5,NA,NA,NA,NA,NA
77.5,77.5,NA,NA,NA,NA,NA
82.5,77.5,NA,NA,NA,NA,NA
87.5,77.5,NA,NA,NA,NA,NA
92.5,77.5,NA,NA,NA,NA,NA
97.5,77.5,NA,NA,NA,NA,NA
102.5,77.5,NA,NA,NA,NA,NA
107.5,77.5,NA,NA,NA,NA,NA
112.5,77.5,NA,NA,NA,NA,NA
117.5,77.5,NA,NA,NA,NA,NA
122.5,77.5,NA,NA,NA,NA,NA
127.5,77.5,NA,NA,NA,NA,NA
132.5,77.5,NA,NA,NA,NA,NA
137.5,77.5,NA,NA,NA,NA,NA
142.5,77.5,NA,NA,NA,NA,NA
147.5,77.5,NA,NA,NA,NA,NA
152.5,77.5,NA,NA,NA,NA,NA
157.5,77.5,NA,NA,NA,NA,NA
162.5,77.5,NA,NA,NA,NA,NA
167.5,77.5,NA,NA,NA,NA,NA
172.5,77.5,NA,NA,NA,NA,NA
177.5,77.5,NA,NA,NA,NA,NA
-177.5,72.5,1.11377501860568,0.147387413627879,-3.00918727441633,-1.01932236310132,-7.8
-172.5,72.5,1.09073314212618,0.182475390568452,-2.72876836118885,-1.00181875603942,-7.8
-167.5,72.5,1.16480261571284,0.230102126319591,-2.44633288381347,-0.984020035351095,-7.7
-162.5,72.5,0.80122395959093,0.177227396811055,-2.76781951033672,-1.00429632584431,-7.8
-157.5,72.5,0.567779205103134,0.109556748668651,-3.35314608242882,-1.0393412606943,-7.9
-152.5,72.5,0.528908422718881,0.0818116712357788,-3.6783585831478,-1.05740173552078,-8
-147.5,72.5,0.550638885851263,0.0683324840526647,-3.87371292762098,-1.06788918557943,-8
-142.5,72.5,0.468715088455768,0.0942185014260339,-3.5175613936495,-1.04846040405649,-8
-137.5,72.5,0.619886193452061,0.233168229899898,-2.42790619528605,-0.982800706417347,-7.7
-132.5,72.5,0.869835069444448,0.257205862777187,-2.33054376552158,-0.976839644731241,-7.6
-127.5,72.5,0.878835437915947,0.0981441097438813,-3.48330665300169,-1.04680431168205,-7.9
-122.5,72.5,NA,NA,NA,NA,NA
-117.5,72.5,NA,NA,NA,NA,NA
-112.5,72.5,NA,NA,NA,NA,NA
-107.5,72.5,NA,NA,NA,NA,NA
-102.5,72.5,NA,NA,NA,NA,NA
-97.5,72.5,NA,NA,NA,NA,NA
-92.5,72.5,NA,NA,NA,NA,NA
-87.5,72.5,NA,NA,NA,NA,NA
-82.5,72.5,NA,NA,NA,NA,NA
-77.5,72.5,0.832197957316409,0.196794044312169,-2.66099756681792,-0.998023739356804,-7.7
